musteri,yas,kidem_suresi,egitim,is_durumu,meslek_grubu,tarih,target
23b2476c8a,44.0,46.0,5f8ca0f83b,915be3a7a4,44af6626d6,20190601,0
5a7e3a7122,39.0,194.0,01a4f2c96c,915be3a7a4,44af6626d6,20190601,0
2ec95c7499,38.0,182.0,7e6640bfe0,d36d84f51a,44af6626d6,20190601,0
54399dac33,34.0,101.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
97a74b2e58,41.0,125.0,7bb291e291,242927d0f5,91ed9c1e18,20190601,0
b914b63898,21.0,12.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
00c8897324,38.0,138.0,7e6640bfe0,991c4998fb,4e1d23cb0a,20190601,0
a190560907,20.0,57.0,7bb291e291,51be29729b,,20190601,0
34a4d668b1,27.0,91.0,7e6640bfe0,d36d84f51a,44af6626d6,20190601,0
e636788578,18.0,117.0,7e6640bfe0,eb35a5eb6b,,20190601,0
ff8acd0a1e,19.0,33.0,5f8ca0f83b,51be29729b,,20190601,0
6a12d41c89,27.0,93.0,7e6640bfe0,991c4998fb,ba91c4a92b,20190601,0
52cdbbe821,21.0,32.0,5f8ca0f83b,242927d0f5,91ed9c1e18,20190601,0
d1f142f0ae,20.0,20.0,5f8ca0f83b,d36d84f51a,44af6626d6,20190601,0
97301d03bf,20.0,23.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
2b4b91d384,30.0,132.0,5f8ca0f83b,915be3a7a4,,20190601,0
31eafb937c,20.0,4.0,7e6640bfe0,d36d84f51a,,20190601,0
fb516afe30,28.0,44.0,01a4f2c96c,991c4998fb,44af6626d6,20190601,1
72b6671eab,28.0,151.0,01a4f2c96c,991c4998fb,62260c15fb,20190601,0
ba34fc7d02,30.0,128.0,01a4f2c96c,eb35a5eb6b,,20190601,0
3b9f9be982,35.0,211.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
970bd3369c,29.0,131.0,7e6640bfe0,915be3a7a4,44af6626d6,20190601,0
41e1a1a2ef,31.0,54.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
bf67769ceb,25.0,28.0,5f8ca0f83b,d36d84f51a,44af6626d6,20190601,0
8950e53473,26.0,52.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
30ef730566,32.0,165.0,7e6640bfe0,d36d84f51a,,20190601,0
51ae6cd961,29.0,38.0,7bb291e291,991c4998fb,44af6626d6,20190601,0
2e0f75d210,20.0,155.0,5f8ca0f83b,51be29729b,,20190601,0
f72f88ffd3,21.0,23.0,7bb291e291,991c4998fb,44af6626d6,20190601,1
edb4b5ac19,24.0,70.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
e4361a06f9,23.0,69.0,7e6640bfe0,ba7b390fc4,44af6626d6,20190601,0
37683ebb04,21.0,17.0,5f8ca0f83b,d36d84f51a,,20190601,0
1937d00b76,28.0,137.0,5f8ca0f83b,915be3a7a4,44af6626d6,20190601,0
c7e22f9bac,29.0,145.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
baeefb4ab1,26.0,23.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
cef9509359,22.0,30.0,5f8ca0f83b,d36d84f51a,,20190601,0
c57ac40808,33.0,150.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,1
2d686022a3,21.0,34.0,7e6640bfe0,d36d84f51a,,20190601,0
898367d63e,24.0,40.0,7e6640bfe0,d36d84f51a,,20190601,0
03931d96fc,23.0,197.0,7e6640bfe0,ba7b390fc4,314826bda8,20190601,0
97f1b108cd,42.0,173.0,7bb291e291,991c4998fb,44af6626d6,20190601,0
e3c12f20bd,35.0,55.0,7bb291e291,991c4998fb,44af6626d6,20190601,0
44dec70359,36.0,218.0,7bb291e291,991c4998fb,44af6626d6,20190601,0
c8e5f689cb,47.0,140.0,7bb291e291,991c4998fb,44af6626d6,20190601,0
47fb156dcc,25.0,72.0,7e6640bfe0,ba7b390fc4,44af6626d6,20190601,0
d776d97c1b,27.0,91.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
8552cb9435,22.0,46.0,5f8ca0f83b,51be29729b,,20190601,0
5fbc80efb1,23.0,95.0,5f8ca0f83b,d36d84f51a,,20190601,0
dc10751f0d,21.0,16.0,5f8ca0f83b,eb35a5eb6b,,20190601,0
23f32499a6,27.0,120.0,7e6640bfe0,915be3a7a4,51155d7cc3,20190601,1
5695512565,34.0,144.0,5f8ca0f83b,915be3a7a4,b18c21407b,20190601,0
ab2fbcb310,25.0,82.0,7e6640bfe0,d36d84f51a,,20190601,0
288808b435,21.0,19.0,5f8ca0f83b,d36d84f51a,,20190601,0
54f2915a5d,23.0,22.0,5f8ca0f83b,eb35a5eb6b,,20190601,0
f909682926,31.0,55.0,5f8ca0f83b,915be3a7a4,,20190601,0
e8accc159d,36.0,244.0,5f8ca0f83b,ba7b390fc4,44af6626d6,20190601,0
8ce1607a6d,45.0,178.0,7bb291e291,991c4998fb,44af6626d6,20190601,0
6a7be5a5ca,29.0,89.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
4d8c877b13,22.0,46.0,7e6640bfe0,d36d84f51a,,20190601,0
909d19e372,23.0,58.0,7e6640bfe0,d36d84f51a,,20190601,0
65a66958b0,29.0,81.0,7e6640bfe0,242927d0f5,91ed9c1e18,20190601,0
892aa41f53,22.0,39.0,7bb291e291,991c4998fb,44af6626d6,20190601,0
243029dc6d,20.0,24.0,5f8ca0f83b,eb35a5eb6b,,20190601,0
101aac1c6f,29.0,119.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
74f9a6d3b5,28.0,98.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
2428e5ec48,23.0,2.0,7e6640bfe0,ba7b390fc4,314826bda8,20190601,0
b511a46b3f,20.0,9.0,5f8ca0f83b,991c4998fb,bfd9cb6270,20190601,0
019176ba20,22.0,20.0,7e6640bfe0,d36d84f51a,,20190601,0
b450f970a1,22.0,45.0,7e6640bfe0,d36d84f51a,,20190601,0
ce9669e01a,21.0,27.0,7e6640bfe0,d36d84f51a,,20190601,0
f6ce19d9b3,20.0,13.0,7e6640bfe0,d36d84f51a,,20190601,0
a419a97e97,19.0,11.0,5f8ca0f83b,51be29729b,,20190601,0
cccd9bd28f,22.0,34.0,7e6640bfe0,d36d84f51a,,20190601,0
f0f7fe2375,21.0,20.0,7bb291e291,289777e76d,,20190601,0
eafb83e810,21.0,9.0,7e6640bfe0,d36d84f51a,,20190601,0
fa3f1b231f,31.0,82.0,5f8ca0f83b,ba7b390fc4,,20190601,0
